Candidate,First Name,Last Name,Party,Race / District,Region,Current Role,Race Context,Status Note,Prospect Score,Score Breakdown,Outreach Angle
Sergio Farias,Sergio,Farias,D,State Assembly AD-74,OC / San Diego,"San Juan Capistrano councilmember, former mayor",Challenging incumbent Laurie Davies in purple OC/SD district decided by 1.7% in 2024,General matchup confirmed,10,Contested:4 + StateLevel:4 + SoCal:2 = 10,"Challenger in razor-thin OC district. Pitch: incumbent has name recognition, a 24/7 voter chatbot helps you answer every voter she can't."
Laurie Davies,Laurie,Davies,R,State Assembly AD-74,OC / San Diego,Incumbent Assemblymember,Defending seat won by only 1.7% in 2024 vs well-known local Democrat,General matchup confirmed,10,Contested:4 + StateLevel:4 + SoCal:2 = 10,Tightest OC seat. Pitch: every voter question answered instantly while your team focuses on turnout.
Laura Bassett,Laura,Bassett,R,State Senate SD-38,OC / San Diego,Small businesswoman,Challenging Sen. Catherine Blakespear in historic toss-up coastal district; GOP flip target,General matchup confirmed,10,Contested:4 + StateLevel:4 + SoCal:2 = 10,First-time candidate with small team = exactly who needs automation. Small business owner will get the ROI pitch instantly.
Catherine Blakespear,Catherine,Blakespear,D,State Senate SD-38,OC / San Diego,Incumbent State Senator,First re-election defense in one of GOP's few flip targets,General matchup confirmed,10,Contested:4 + StateLevel:4 + SoCal:2 = 10,High-pressure defense race. Pitch: constituent-service chatbot doubles as campaign tool.
Fatima Iqbal-Zubair,Fatima,Iqbal-Zubair,D,State Assembly AD-65,LA County,"Chair, CA progressive caucus",Open Gipson seat; was in cash lead pre-primary vs party-backed Ayanna Davis,VERIFY advanced from June primary,10,Contested:4 + StateLevel:4 + SoCal:2 = 10,"Grassroots progressive campaign = volunteer-heavy, staff-light. Chatbot handles voter questions so volunteers canvass."
Ayanna Davis,Ayanna,Davis,D,State Assembly AD-65,LA County,Compton USD trustee,Party-backed candidate for open LA seat,VERIFY advanced from June primary,10,Contested:4 + StateLevel:4 + SoCal:2 = 10,School board background = education-first platform. Bot trained on her record answers policy questions at scale.
Sara Hernandez,Sara,Hernandez,D,State Senate SD-26,LA (Downtown),LA Community College District trustee,"Open Durazo seat, crowded Democratic field, no party endorsement",VERIFY advanced from June primary,10,Contested:4 + StateLevel:4 + SoCal:2 = 10,No party machine behind her = needs every differentiator. Tech-forward campaign angle.
Wendy Carrillo,Wendy,Carrillo,D,State Senate SD-26,LA (Downtown),Former Assemblymember,Competing for open downtown LA senate seat,VERIFY advanced from June primary,10,Contested:4 + StateLevel:4 + SoCal:2 = 10,Experienced pol who knows staff costs. Pitch: chatbot replaces a full-time constituent-questions volunteer.
Mike Gipson,Mike,Gipson,D,Board of Equalization D3,LA area,Termed-out Assemblymember,Advancing to general for LA-area BOE seat,Advanced per primary results,10,Contested:4 + StateLevel:4 + SoCal:2 = 10,BOE is obscure - voters constantly ask what it even does. A chatbot explaining the office is a genuinely novel angle.
Amy Slavensky,Amy,Slavensky,D,State Assembly AD-7,Sacramento,Retired teacher and principal,Challenging Josh Hoover in competitive district that voted Harris but re-elected GOP incumbent,General matchup confirmed,8,Contested:4 + StateLevel:4 = 8,"First-time candidate, education background. Simple pitch: your students asked questions all day, now your voters can too."
